id,symbol,signal_type,would_have_opened,actual_blocked_by,linked_auto_short_id,linked_canceled_signal_id,entry_price,signal_price,entry_ts,leverage,tp_pct,sl_pct,tp_price,sl_price,score,entry_score,triggered_count,status,close_reason,exit_price,exit_ts,pnl_pct,ml_label,f_rsi_5m,f_large_sell_cluster,f_rsi,f_vwap_extension,f_volume_zscore,f_trade_imbalance,f_large_buy_cluster,f_price_acceleration,f_consecutive_greens,f_ob_bid_thinning,f_spread_expansion,f_momentum_loss,f_upper_wick,f_funding_rate,f_cvd_divergence,f_liquidation_cascade,volume_24h_usdt,price_change_5m,price_change_1h,spread_pct,bid_depth_change_5m,realized_vol_1h,btc_change_15m,funding_rate_at_signal,oi_change_pct_at_signal,trend_strength_1h,ob_snapshot,ob_bid_volume_top10,ob_ask_volume_top10,ob_imbalance_top10,ob_spread_bps,ob_bid_wall_price,ob_bid_wall_size,ob_ask_wall_price,ob_ask_wall_size,spread_pct_z,bid_depth_change_5m_z,realized_vol_1h_z,volume_24h_usdt_z,oi_change_pct_z,btc_change_1h,btc_change_4h,btc_change_24h,btc_adx_1h,btc_atr_pct_1h,recent_wr_20,adverse_move_pct
11,TAOUSDT,overheated,False,already_open,,1393,279.46,279.46,2026-05-02T18:26:02.229694+00:00,10,10.0,10.0,276.6654,282.2546,51.27824665667859,51.27824665667859,7,closed,sl_hit,282.26,2026-05-02T18:42:42.986291+00:00,-10.0,0,62.277937080254716,53.0,67.11406321097868,0.3832043177093286,2.6793797574871765,0.0,35.0,-0.08566548691073102,1.0,-30.61466220614258,0.0035763460472402783,0.0,1.0,0.0,1.0,0.5739157259291914,0.0,0.3411008581379443,0.11488475622890543,0.0035763460472402783,-30.61466220614258,0.08633442546234682,0.09644839946755374,-2.809e-05,-0.12979631893288004,-1.0,,,,,,,,,,,,,,,,,,,,,
12,TAOUSDT,overheated,False,duplicate,,,279.46,279.46,2026-05-02T18:26:02.238227+00:00,10,10.0,10.0,276.6654,282.2546,51.27824665667859,51.27824665667859,7,closed,sl_hit,282.26,2026-05-02T18:42:42.972844+00:00,-10.0,0,62.277937080254716,53.0,67.11406321097868,0.3832043177093286,2.6793797574871765,0.0,35.0,-0.08566548691073102,1.0,-30.61466220614258,0.0035763460472402783,0.0,1.0,0.0,1.0,0.5739157259291914,0.0,0.3411008581379443,0.11488475622890543,0.0035763460472402783,-30.61466220614258,0.08633442546234682,0.09644839946755374,-2.809e-05,-0.12979631893288004,-1.0,,,,,,,,,,,,,,,,,,,,,
13,1000TAGUSDT,overheated,False,pending_duplicate,,1394,1.25,1.25,2026-05-02T18:28:33.156496+00:00,10,10.0,10.0,1.2375,1.2625,52.47684789899238,52.47684789899238,8,closed,tp_hit,1.2192,2026-05-02T18:29:12.398586+00:00,10.0,1,34.994403500185044,12.0,43.21559958382089,0.0,2.9029167559066176,0.6289483325201132,89.0,7.564438675608129,2.0,-47.13017390796432,0.1537776698636245,0.0,0.48637015781922516,0.00107043,-1.0,0.39060402684563755,22446047.5004,0.0,-27.05861414333175,0.1537776698636245,-47.13017390796432,2.4897751234662464,0.09644839946755374,0.00107043,0.33504770558836894,-1.0,,,,,,,,,,,,,,,,,,,,,
14,1000TAGUSDT,overheated,False,duplicate,,,1.25,1.25,2026-05-02T18:28:33.165431+00:00,10,10.0,10.0,1.2375,1.2625,52.47684789899238,52.47684789899238,8,closed,tp_hit,1.2192,2026-05-02T18:29:12.413416+00:00,10.0,1,34.994403500185044,12.0,43.21559958382089,0.0,2.9029167559066176,0.6289483325201132,89.0,7.564438675608129,2.0,-47.13017390796432,0.1537776698636245,0.0,0.48637015781922516,0.00107043,-1.0,0.39060402684563755,22446047.5004,0.0,-27.05861414333175,0.1537776698636245,-47.13017390796432,2.4897751234662464,0.09644839946755374,0.00107043,0.33504770558836894,-1.0,,,,,,,,,,,,,,,,,,,,,
15,1000TAGUSDT,early_warning,False,cancel_rise,,1395,1.25,1.25,2026-05-02T18:28:41.294675+00:00,10,10.0,10.0,1.2375,1.2625,46.65462042202274,46.65462042202274,7,closed,tp_hit,1.2192,2026-05-02T18:29:12.407606+00:00,10.0,1,34.994403500185044,10.0,43.21559958382089,0.0,2.9029167559066176,0.6895961152978223,90.0,7.564438675608129,2.0,-18.18453950119336,0.22637238256931957,0.0,0.48637015781922516,0.00107043,-1.0,0.7885981308411215,0.0,0.0,-27.05861414333175,0.22637238256931957,-18.18453950119336,2.4897751234662464,0.09644839946755374,0.00107043,-1.4725136514957915,-1.0,,,,,,,,,,,,,,,,,,,,,
16,BEATUSDT,overheated,False,score_dropped,,1396,0.60763,0.60763,2026-05-02T18:31:00.225802+00:00,10,10.0,10.0,0.6015537,0.6137063,51.96128365549822,51.96128365549822,7,closed,tp_hit,0.60058,2026-05-02T18:47:43.224851+00:00,10.0,1,55.6780483575312,5.0,61.87027819663616,0.733690214224502,4.017028677291075,0.5834435559959709,19.0,0.5639011206990346,4.0,-30.9460706165553,0.07292495359321068,0.0,0.07103825136613066,0.00055351,-0.0,0.8,0.0,0.4977691949124406,-1.8525996155896145,0.07292495359321068,-30.9460706165553,0.38368405090195784,0.09644839946755374,0.00055351,0.06346006802712287,-0.3,,,,,,,,,,,,,,,,,,,,,
17,OPUSDT,early_warning,False,already_open,,1397,0.12395,0.12395,2026-05-02T18:32:09.995026+00:00,10,10.0,10.0,0.1227105,0.1251895,45.05257854669428,45.05257854669428,7,closed,sl_hit,0.1253,2026-05-02T18:51:13.468258+00:00,-10.0,0,62.53466459459536,4.0,76.1124521491441,0.45981798172831134,0.0,0.752557759797182,49.0,-0.09045905736522589,4.0,0.006571298866810085,0.008068745713475713,0.0,0.0,0.0001,-0.0,0.7725158562367747,0.0,0.2021018593371061,-0.08838180941667924,0.008068745713475713,0.006571298866810085,0.10044238671518484,-0.0945704319992723,0.0001,1.303390780017496,-1.0,,,,,,,,,,,,,,,,,,,,,
18,OPUSDT,early_warning,False,duplicate,,,0.12395,0.12395,2026-05-02T18:32:10.004192+00:00,10,10.0,10.0,0.1227105,0.1251895,45.05257854669428,45.05257854669428,7,closed,sl_hit,0.1253,2026-05-02T18:51:13.458671+00:00,-10.0,0,62.53466459459536,4.0,76.1124521491441,0.45981798172831134,0.0,0.752557759797182,49.0,-0.09045905736522589,4.0,0.006571298866810085,0.008068745713475713,0.0,0.0,0.0001,-0.0,0.7725158562367747,0.0,0.2021018593371061,-0.08838180941667924,0.008068745713475713,0.006571298866810085,0.10044238671518484,-0.0945704319992723,0.0001,1.303390780017496,-1.0,,,,,,,,,,,,,,,,,,,,,
19,TRUMPUSDT,early_warning,False,score_dropped,,1398,2.358,2.358,2026-05-02T18:32:18.562643+00:00,10,10.0,10.0,2.33442,2.38158,48.19189693712846,48.19189693712846,7,closed,tp_hit,2.33,2026-05-03T01:39:29.329816+00:00,10.0,1,66.1088925615977,9.0,76.06812443053542,0.2444991083057068,0.0,0.0,5.0,0.008420484984739324,3.0,0.06603466553921804,0.042417815482497984,0.0,0.0,0.0,1.0,0.7610169491525424,0.0,0.1274426508071416,0.21240441801189008,0.042417815482497984,0.06603466553921804,0.08380583419679544,-0.0945704319992723,-0.00030819,0.04076577667953031,1.0,,,,,,,,,,,,,,,,,,,,,
20,AXSUSDT,overheated,False,already_open,,1399,1.3782,1.3782,2026-05-02T18:35:42.537747+00:00,10,10.0,10.0,1.3644180000000001,1.391982,45.66377167062358,45.66377167062358,7,closed,tp_hit,1.3643,2026-05-03T00:04:59.659457+00:00,10.0,1,53.98062942746547,9.0,70.6909735092224,0.19842146448138584,1.7673369940999542,0.0,8.0,0.01591920159263202,5.0,2.05713398746096,0.007251894557452336,0.0,0.14285714285714285,0.0,1.0,0.5092979489336501,0.0,0.13077593722755185,-0.2531828703703746,0.007251894557452336,2.05713398746096,0.05343582005871844,-0.0945704319992723,-0.00028794,-0.02122297754586371,-0.3,,,,,,,,,,,,,,,,,,,,,
21,AXSUSDT,overheated,False,duplicate,,,1.3782,1.3782,2026-05-02T18:35:42.551759+00:00,10,10.0,10.0,1.3644180000000001,1.391982,45.66377167062358,45.66377167062358,7,closed,tp_hit,1.3643,2026-05-03T00:04:59.672180+00:00,10.0,1,53.98062942746547,9.0,70.6909735092224,0.19842146448138584,1.7673369940999542,0.0,8.0,0.01591920159263202,5.0,2.05713398746096,0.007251894557452336,0.0,0.14285714285714285,0.0,1.0,0.5092979489336501,0.0,0.13077593722755185,-0.2531828703703746,0.007251894557452336,2.05713398746096,0.05343582005871844,-0.0945704319992723,-0.00028794,-0.02122297754586371,-0.3,,,,,,,,,,,,,,,,,,,,,
22,BABYUSDT,early_warning,False,score_dropped,,1400,0.018216,0.018216,2026-05-02T18:36:44.847643+00:00,10,10.0,10.0,0.01803384,0.01839816,47.952048692081426,47.952048692081426,7,closed,sl_hit,0.018406,2026-05-02T18:45:43.113734+00:00,-10.0,0,64.82108298110404,5.0,64.37973675739511,0.2629282571305839,0.8240898480675043,0.0,6.0,-0.35925360647677457,0.0,-50.84388294525868,0.14270032930844265,0.0,0.6140350877192876,5e-05,1.0,0.7246436909757933,0.0,0.15397305471542616,2.960619244025087,0.14270032930844265,-50.84388294525868,0.20213947397558882,-0.0945704319992723,5e-05,-0.20450885788900314,-0.3,,,,,,,,,,,,,,,,,,,,,
23,TAOUSDT,early_warning,False,already_open,,1401,280.82,280.82,2026-05-02T18:38:24.166987+00:00,10,10.0,10.0,278.0118,283.6282,45.0,45.0,6,closed,sl_hit,283.86,2026-05-02T18:48:13.237444+00:00,-10.0,0,74.09117955770299,13.0,75.87920187382853,0.2952767674859149,0.0,0.0,9.0,-0.07004580723790652,0.0,7.702019110974868,0.003559795667725435,0.0,0.0,0.0,1.0,0.6663556900178678,0.0,0.3573725966692874,0.7787547102099466,0.003559795667725435,7.702019110974868,0.08885866794769427,-0.0945704319992723,-2.809e-05,-0.18565924802627723,-1.0,,,,,,,,,,,,,,,,,,,,,
24,TAOUSDT,early_warning,False,duplicate,,,280.82,280.82,2026-05-02T18:38:24.174234+00:00,10,10.0,10.0,278.0118,283.6282,45.0,45.0,6,closed,sl_hit,283.86,2026-05-02T18:48:13.249954+00:00,-10.0,0,74.09117955770299,13.0,75.87920187382853,0.2952767674859149,0.0,0.0,9.0,-0.07004580723790652,0.0,7.702019110974868,0.003559795667725435,0.0,0.0,0.0,1.0,0.6663556900178678,0.0,0.3573725966692874,0.7787547102099466,0.003559795667725435,7.702019110974868,0.08885866794769427,-0.0945704319992723,-2.809e-05,-0.18565924802627723,-1.0,,,,,,,,,,,,,,,,,,,,,
25,CHILLGUYUSDT,early_warning,False,score_dropped,,1402,0.014403,0.014403,2026-05-02T18:39:15.671168+00:00,10,10.0,10.0,0.01425897,0.014547029999999999,49.96091563999648,49.96091563999648,7,closed,sl_hit,0.014562,2026-05-02T18:49:13.289691+00:00,-10.0,0,55.09492839502527,12.0,76.10720963776005,0.9621720930460333,0.0,0.0,9.0,-0.02225523031850654,8.0,-53.64579881305729,0.0902683748220731,0.0,0.7692307692308051,5e-05,1.0,0.7244897959183674,0.0,1.0591288489864634,1.6066521034458392,0.0902683748220731,-53.64579881305729,0.2684051748488537,-0.0945704319992723,5e-05,-0.02347517044146411,-1.0,,,,,,,,,,,,,,,,,,,,,
