id,symbol,signal_type,cancel_reason,signal_ts,decision_ts,signal_price,final_price,price_change_pct,score,final_score,min_score_at_entry,entry_mode_candidate,triggered_count,entry_delay_sec,monitor_attempts,monitor_interval_sec,stabilization_threshold_pct,max_rise_pct,max_entry_drop_pct,f_rsi,f_vwap_extension,f_volume_zscore,f_trade_imbalance,f_large_buy_cluster,f_price_acceleration,f_consecutive_greens,f_ob_bid_thinning,f_spread_expansion,f_momentum_loss,f_upper_wick,f_funding_rate,f_rsi_5m,f_large_sell_cluster,f_cvd_divergence,f_liquidation_cascade,realized_vol_1h,volume_24h_usdt,price_change_5m,price_change_1h,spread_pct,bid_depth_change_5m,btc_change_15m,funding_rate_at_signal,oi_change_pct_at_signal,trend_strength_1h
25,BLURUSDT,overheated,score_dropped,2026-04-13 14:41:39.828676+00,2026-04-13 14:41:39.82868+00,0.021738,0.021796,0.26681387432146025,46.02243760862608,42.7,45,after_monitor,6,30,24,5,0.2,0.8,-0.3,70.77087910929909,0.30609192248386374,3.1549249960747074,0.36626891530024036,25,-0.33711944651264836,0,0,0,0,0,9.07e-05,67.56343614664834,5,-0,0.711764705882353,0.16977735416193607,0,0.8256029684601164,2.1698962429525754,0,0,-0.14462294135448672,9.07e-05,-0.34060683660755214,-1
26,0GUSDT,overheated,score_dropped,2026-04-13 14:43:02.860756+00,2026-04-13 14:43:02.860762+00,0.5949,0.5958,0.15128593040847402,47.930003105322676,42.9,45,direct,8,30,24,5,0.2,0.8,-0.3,69.28443372569222,0.31758825651200173,2.7051081154863565,0.4052589452194819,17,-0.3294372150338739,0,0,0,0,0,0,63.651521510944086,14,-0,0.7428232526417056,0.1681266869460167,0,0.3881201484981385,1.3628620102214664,0,0,-0.17650355656061462,-0.00048646,0.2054053424679001,-1
27,TONUSDT,early_warning,score_dropped,2026-04-13 14:45:13.645677+00,2026-04-13 14:45:13.645681+00,1.4438,1.4473,0.2424158470702354,45,40.6,45,direct,6,30,24,5,0.2,0.8,-0.3,68.17734427451298,0.139821835300861,0,0,15,-0.0402206660740591,0,0,0,0,0.2,5e-05,78.01319472028162,19,1,0.7807692307692308,0.11485277408760529,0,0.16650478701262367,0.9946763799383574,0,0,-0.31728617988273944,5e-05,0.081478724461325,-1
28,VIRTUALUSDT,early_warning,score_dropped,2026-04-13 14:45:46.683065+00,2026-04-13 14:45:46.683069+00,0.6769,0.677,0.014773230905613829,46.33333333333333,44.1,45,direct,6,30,24,5,0.2,0.8,-0.3,70.87592107728625,0.5716392291693687,0,0,13,0.07371772076446999,4,0,0,0,0.1999999999999778,0,74.10445529932386,25,1,0.803030303030303,0.2312075917958947,0,0.2963401985479168,1.9106363773130803,0,0,-0.31728617988273944,-0.00010525,-0.13618804201190915,1
29,BLESSUSDT,overheated,price_dropped,2026-04-13 14:46:08.75367+00,2026-04-13 14:46:08.753674+00,0.013215,0.013142,-0.552402572833902,51.40341430998456,45.3,45,direct,7,30,24,5,0.2,0.8,-0.3,69.64012010127763,3.6146817632949655,3.8257312506285883,0.2337442983113464,54,0.9764689586079887,3,0,0,0,0.3838383838383817,6.843e-05,63.4627213303149,46,-1,0.7598039215686274,0.8854624038907146,0,0,4.396387832699619,0,0,-0.046404228064268714,6.843e-05,-0.5911774583963982,-1
30,BLURUSDT,early_warning,score_dropped,2026-04-13 14:46:42.503416+00,2026-04-13 14:46:42.503419+00,0.02189,0.021824,-0.3015075376884426,46.966414604504564,36.8,45,direct,6,30,24,5,0.2,0.8,-0.3,81.85088885584081,1.087437065748369,0.9585040388920872,0,27,-0.2394118749298696,1,0,0,0,1.749999999999783,9.07e-05,79.35688524587243,56,1,0.7703448275862068,0.24084695888469035,0,0.5281285878300828,4.123027344675604,0,0,-0.046404228064268714,9.07e-05,-0.013288521091965657,-1
31,IMXUSDT,overheated,score_dropped,2026-04-13 14:48:32.942467+00,2026-04-13 14:48:32.942471+00,0.1435,0.14372,0.15331010452961533,45.148089046691325,39.7,45,direct,7,30,24,5,0.2,0.8,-0.3,66.30800547073179,0,8.211695236099626,0.4632618797080166,15,0.08081231116917573,2,0,0,0,3.5294117647064875,5e-05,61.25453406805272,14,-0,0.7295081967213115,0.1371412731036538,0,0.24449877750610494,0.6805584789167184,0,0,-0.12369519615613538,5e-05,-0.069849629321916,1
32,RENDERUSDT,overheated,score_dropped,2026-04-13 14:49:06.248883+00,2026-04-13 14:49:06.248889+00,1.9072,1.9077,0.026216442953017245,47.57684739623797,40.6,45,direct,7,30,24,5,0.2,0.8,-0.3,60.2629209378737,0.10677736085889834,3.9219479056587683,0,21,0.1617551508280169,1,0,0,0,0.3333333333332785,5e-05,67.68955561509895,17,1,0.730069765422666,0.19233465013138137,0,0.0682092449761309,1.258830403144423,0,0,-0.12369519615613538,5e-05,-0.04818631961106474,0.3
33,APTUSDT,early_warning,score_dropped,2026-04-13 14:50:23.589847+00,2026-04-13 14:50:23.589851+00,0.8418,0.8413,-0.0593965312425689,46.46460533596953,43.1,45,direct,7,30,24,5,0.2,0.8,-0.3,66.93661281917369,0.4129921727339702,0,0,15,-0.09278707466722948,0,0,0,0,0,0,64.10122177700484,25,1,0.6768631010525472,0.15558323622280568,0,0.17850767583005425,-0.08300723348749364,0,0,0.0303110357197521,-0.00067232,0.07946398825275505,1
34,JSTUSDT,overheated,score_dropped,2026-04-13 14:56:45.233037+00,2026-04-13 14:56:45.233043+00,0.078037,0.077932,-0.13455155887591014,47.387326468718655,41.8,45,direct,7,30,24,5,0.2,0.8,-0.3,70.75590270364448,0.10719371186854111,3.296947848518104,0.6712829074854285,17,0.37455204554548077,2,0,0,0,0.9415807560137825,0.0001,63.4224235436131,4,-0,0.7393773294387285,0.13455253452687121,0,0.3910822945209869,2.001150236582739,0,0,-0.09193295282533723,0.0001,-0.07049130168081129,-1
