source_type,source_id,symbol,signal_type,event_ts,cancel_reason,close_reason,signal_price,final_price,price_change_pct,signal_score,final_score,min_score_at_entry,entry_mode,triggered_count,entry_delay_sec,monitor_attempts,monitor_interval_sec,stabilization_threshold_pct,max_rise_pct,max_entry_drop_pct,f_rsi,f_vwap_extension,f_volume_zscore,f_trade_imbalance,f_large_buy_cluster,f_price_acceleration,f_consecutive_greens,f_ob_bid_thinning,f_spread_expansion,f_momentum_loss,f_upper_wick,f_funding_rate,f_rsi_5m,f_large_sell_cluster,f_cvd_divergence,f_liquidation_cascade,realized_vol_1h,volume_24h_usdt,price_change_5m,price_change_1h,spread_pct,bid_depth_change_5m,btc_change_15m,funding_rate_at_signal,oi_change_pct_at_signal,trend_strength_1h,pnl_pct,ml_label,entry_decision_label
opened,19,CROSSUSDT,early_warning,2026-04-12 10:07:24.637609+00,,sl_hit,0.07543,0.0753,-0.17234522073444417,48.26739498941285,,50,direct,6,30,,,,,,65.74936174337972,0.37938984443633367,1.1856998240163763,0,11,0.015266808798357595,2,0,0,0,0,0,69.47032572585226,17,1,0.7296290090614033,0.2342201503721447,0,0.7479631361025658,,0,0,-0.03048230558090236,,0.9878724247150379,-1,-10.092961487383754,0,1
opened,7,XMRUSDT,overheated,2026-04-12 08:26:30.332294+00,,closed_manual,343.21,343.16,-0.014568340083317657,46.316163194509954,,50,direct,7,15,,,,,,68.85496379992395,0.16730787631678254,11.922382937596414,0.49426442519454006,38,-0.09014177485621983,0,0,0,0,6.000000000005684,0,61.058650965631955,11,-0,0.7533333333333334,0.08269028598238773,0,0.4713114754098234,,0,0,-0.08650144889926906,,0.0028461988529204707,0.3,4.866534561137708,1,1
opened,9,ARCUSDT,overheated,2026-04-12 08:44:21.73752+00,,sl_hit,0.07944,0.07956,0.15105740181270014,45.26050110101784,,50,direct,7,15,,,,,,62.13443115883341,0.2535808021265192,2.4546007334455493,0,10,-0.05053437308968747,4,0,0,0,5.999999999997918,0,53.413009052901295,19,1,0.7184615384615385,0.18773396397475725,0,0.06298022420959125,,0,0,-0.06317110584298273,,-0.012746524717991719,-1,-10.93514328808441,0,1
opened,11,ZENUSDT,early_warning,2026-04-12 08:47:09.10011+00,,tp_hit,5.938,5.938,0,45,,50,direct,6,15,,,,,,74.57464125037393,0.31517114191860723,0.30585438963479683,0,7,0.03684578812358939,1,0,0,0,0,0,76.47098163159829,8,1,0.6981685611661492,0.14209164346565367,0,0.4567755032989365,,0,0,0.03209085898857984,,-0.02553447839152526,-1,10.44122600202078,1,1
opened,17,DUSKUSDT,overheated,2026-04-12 09:32:36.252357+00,,tp_hit,0.1525,0.15234,-0.10491803278688099,50.511703856913755,,50,direct,8,15,,,,,,69.73428000243607,1.368026909848675,6.378461228111526,0.749730866127069,24,0.028391851015312164,5,0,0,0.7,0.17499999999996182,0,57.55535910734862,4,-0,0.4116119783093589,0.24629893665701336,0,2.866779089376057,,0,0,-0.018862994577238376,,0.9771121891169897,-1,10.240252067743242,1,1
opened,28,GMTUSDT,overheated,2026-04-12 12:45:21.623151+00,,tp_hit,0.010762,0.010762,0,51,,45,direct,8,60,,,,,,83.11233484712488,0.4790705548646603,0.42355644983688623,0,22,-0.2389553734100421,0,0,0,0,8.666666666668016,0.0001,78.57618565697173,22,1,0.6479269159818979,0.11346794493278672,0,0.36370418726103554,1.4211764705882362,0,0,-0.09727476692545953,0.0001,0.5929418747032035,-0.3,10.314068017097194,1,1
opened,27,KITEUSDT,overheated,2026-04-12 12:33:56.380578+00,,tp_hit,0.13107,0.13115,0.0610360875867832,47.3793414351796,,45,direct,7,60,,,,,,70.42007822602507,0.5806586734489856,1.4222676984160825,0,9,-0.0026754000416309986,4,0,0,0,0.3913043478261027,5e-05,65.96146984832232,4,1,0.32852461327035587,0.19014377233720134,0,0.892925871757366,1.8967661691542272,0,0,0.018776921761904052,5e-05,0.1030959255207802,-0.3,11.056042699199232,1,1
opened,30,SPXUSDT,early_warning,2026-04-12 12:51:28.070126+00,,tp_hit,0.3075,0.3072,-0.0975609756097634,45.300853604534424,,45,direct,6,60,,,,,,79.11588730128531,0.42454238165582175,1.2450143184010238,0.6821305593883487,44,-0.19648681610498006,0,0,0,0,0,5e-05,70.48963898413207,13,-0,0.7154397394136593,0.13161233377713136,0,0.7536041939711562,1.3188262446422694,0,0,0.08587960044271131,5e-05,-0.09017866043179072,-1,11.067708333333199,1,1
opened,32,AKEUSDT,early_warning,2026-04-12 14:52:10.132654+00,,sl_hit,0.000634,0.0006325,-0.23659305993690571,47.22707812929841,45.2,45,direct,7,60,,,,,,80.59789958526099,2.2464393460496392,0,0.24154843692186354,52,-0.3555573368967928,2,0,0,0,5.499999999999729,0.00097093,70.94196025185846,24,-0,0.3842876411284381,0.6955233460764559,14976672.9186,1.423772196448577,4.765045342126957,0,0,0.13135476390783135,0.00097093,0.7724362281710071,-1,-10.118577075098719,0,1
opened,29,GALAUSDT,early_warning,2026-04-12 12:47:11.27735+00,,tp_hit,0.002961,0.002966,0.16886187098952368,45.666666666666664,,45,direct,7,60,,,,,,84.39402673030904,0.5925537140704147,0.3544486019327368,0,7,-0.09533731093863448,5,0,0,0,0.9999999999995663,0,72.32366175053252,10,1,0.2457654959176601,0.07046161546288028,0,0.5774456521739161,0.8876749743939905,0,0,-0.10426565489327815,-0.00056518,0.6240250747630544,0.3,10.114632501685799,1,1
opened,31,QUSDT,early_warning,2026-04-12 14:15:28.150614+00,,sl_hit,0.009666,0.009663,-0.031036623215389313,45.773439835198076,48.4,45,direct,7,60,,,,,,66.21500978107994,0.45195985913858455,0.06260362466850342,0,4,-0.07681567700776877,0,0,0,0,0,0.0007007,61.813695696358934,6,0.635947225089665,0.6199923254806495,0.2567107707280718,0,0.30092352391822674,2.0496566296883225,0,0,-0.10882865407712329,0.0007007,0.8219599686317586,-0.3,-12.004553451309095,0,1
opened,25,BANUSDT,overheated,2026-04-12 11:35:31.483788+00,,tp_hit,0.07056,0.07048,-0.11337868480725162,46.10751889968263,,50,direct,6,30,,,,,,84.45395002455784,1.5062419956510738,2.847645010069865,0.3404068615575939,13,0.16051214193594365,5,0,0,0,0.7027027027027392,0,86.99828515990619,6,-1,0.360431654676259,0.2781215381356826,0,0,,0,0,0.0464637841393313,,0.052920149493587164,-1,23.69466515323503,1,1
