trade_id,symbol,signal_type,entry_ts,close_reason,signal_price,entry_price,exit_price,price_change_at_entry,pnl_pct,ml_label,signal_score,final_score,min_score_at_entry,entry_mode,triggered_count,entry_delay_sec,f_rsi,f_vwap_extension,f_volume_zscore,f_trade_imbalance,f_large_buy_cluster,f_price_acceleration,f_consecutive_greens,f_ob_bid_thinning,f_spread_expansion,f_momentum_loss,f_upper_wick,f_funding_rate,f_rsi_5m,f_large_sell_cluster,f_cvd_divergence,f_liquidation_cascade,realized_vol_1h,volume_24h_usdt,price_change_5m,price_change_1h,spread_pct,bid_depth_change_5m,btc_change_15m,funding_rate_at_signal,oi_change_pct_at_signal,trend_strength_1h
71,UAIUSDT,overheated,2026-04-13 03:23:00.86171+00,sl_hit,0.23713,0.23705,0.23965,-0.03373676886096096,-10.968150179287033,0,51.49214126034563,50.1,45,,7,60,69.25030110674066,0.519201636492399,2.0008030185543584,0,9,-0.1139029940021944,1,0,0,0,0.8695652173912991,5e-05,67.2761977401849,13,1,0.796,0.18762807872624543,0,0.8377275046776661,1.97072072072072,0,0,-0.02041080618461504,5e-05,-0.04973096597390127,-1
1,TRUUSDT,overheated,2026-04-12 07:32:20.585175+00,sl_hit,0.011574,0.011587,0.011659,0.11232071885260808,-6.213860360749042,0,53.93525809273841,,50,direct,7,15,76.49479856609788,5.079950873566893,2.3546451067848366,0,23,2.9472551713651716,3,0,0,0,0.046511627906978034,0,76.51420565569559,77,-0,0.3829396325459317,1.2246737670567218,20792411.534,0,,0,0,-0.010194747610173674,,-0.5023999669905812,-0.3
73,BLESSUSDT,early_warning,2026-04-13 04:19:25.472474+00,sl_hit,0.009391,0.009399,0.009493,0.08518794590564718,-10.001063942972692,0,48.55393800130473,49.7,45,,7,60,79.18919542184726,1.3867173481363715,0,0,18,-0.28551473162087426,6,0,0,0,0,0.00028918,67.3081815629681,45,1,0.5881234568149465,0.2950307370037627,0,1.1416262789445364,4.646215853112389,0,0,0.02496213371243572,0.00028918,-0.08186059195533188,-1
70,BANUSDT,overheated,2026-04-13 02:49:39.833211+00,tp_hit,0.08045,0.0804,0.07942,-0.06215040397761902,12.189054726368093,1,48.87183645682424,47.1,45,,7,60,69.92418968764115,0.4877338379452156,3.6498636657287484,0.566670368606065,80,0.18060674871541266,2,0,0,0,1.2580645161290742,0.00017113,68.68998314648492,8,-0,0.6835181818648919,0.3486345898994133,0,0.7892758707090851,2.6151294808011176,0,0,-0.032382963745160157,0.00017113,0.12404278221461805,-1
34,HYPEUSDT,overheated,2026-04-12 16:35:33.352867+00,tp_hit,41.224,41.297,40.872,0.17708131185717155,10.291304453107905,1,50.195922852219546,54.2,45,,7,60,75.08728334379418,0.2718623876635128,4.5169710251642305,0.3963108745827349,65,-0.012695281008878536,3,0,0,0,1.7499999999988898,0.0001,75.44218495803335,35,-1,0.762041884816754,0.07062471070868775,147279324.0838,0,1.1973250725279094,0,0,-0.003103474057068782,0.0001,0.22268425379279097,-1
33,CHILLGUYUSDT,overheated,2026-04-12 16:22:08.664712+00,tp_hit,0.013222,0.013192,0.013036,-0.22689456965662366,11.825348696179494,1,45.834836811259166,49.1,45,,6,60,66.18459158694345,0.1224996119948093,2.531998763476966,0.4723849044704607,47,0.4262056200547517,3,0,0,0,1.1698113207547256,5e-05,60.70996596152331,11,-0,0.4342105263157895,0.13746494893990685,0,0.2350087180653459,1.007172287501909,0,0,0.08513221612006454,5e-05,0.20428320718183646,-0.3
63,VVVUSDT,early_warning,2026-04-13 01:38:09.671954+00,tp_hit,8.2706,8.2757,8.1882,0.06166420815902774,10.573123723672964,1,45.028074866310114,45.1,45,,7,60,80.98309873179214,0.6364366336354621,0.3129105563977824,0.6290335128330544,46,-0.13563196932105623,6,0,0,0,1.1470588235293273,5e-05,71.22756222210589,8,-0,0.3409090909090909,0.14651460592735402,0,1.145911042081964,2.1503118631507347,0,0,-0.07325780701839497,5e-05,0.09500932156074662,-1
66,PLAYSOUTUSDT,overheated,2026-04-13 01:54:15.197009+00,tp_hit,0.08229,0.08232,0.08147,0.036456434560702695,10.325558794946591,1,47.54335864885071,45.7,45,,6,60,69.88668772505216,1.1895864971958339,2.596350289377628,0.5449862671743063,18,0.7362126470035796,1,0,0,0,0,5e-05,68.43024931182777,6,-0,0.43999999999999995,0.40783352864865097,0,1.6427865612648191,2.4782067247820745,0,0,-0.07489689381644346,5e-05,-0.06468458456527072,-0.3
68,KITEUSDT,overheated,2026-04-13 02:05:16.823055+00,tp_hit,0.13428,0.13427,0.13257,-0.007447125409599345,12.66105608103081,1,51.811905478598824,51.1,45,,8,60,65.96416553215802,0.6779670786776745,2.9033577953337613,0.500237603022202,54,0.21517627208729634,1,0,0,0,0.2941176470588667,5e-05,70.65486738661119,14,-0,0.7375,0.20985260706936248,7805067.0497,0.7351837959489937,2.6176808266360556,0,0,-0.00028106151311867205,5e-05,0.46953627744128096,-1
67,ICPUSDT,overheated,2026-04-13 02:04:00.012269+00,expired,2.43,2.428,2.435,-0.0823045267489804,-2.88303130148275,0,46.86411337559502,52.2,45,,7,60,79.68652482083957,0.17824297084307045,1.901447319542829,0.4637920196441385,17,0.008189601423859806,2,0,0,0,0,0.0001,66.33744594823389,7,-0,0.6202309836718304,0.04256923822245869,0,0.33030553261767165,0.4135649296939531,0,0,-0.043405277463662725,0.0001,-0.023568011196717947,0.3
